District,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge
Dhaka,Salimullah Road(Mohammadpur),1207,Yes,No,65,80,95,0%
Dhaka,Dhanmondi - Road 3,1209,Yes,No,65,80,95,0%
Dhaka,Gulshan-1 Road-1,1212,Yes,No,65,80,95,0%
Dhaka,Kallyanpur(Dhaka),1216,Yes,No,65,80,95,0%
Dhaka,Shyamoli(Dhaka),1207,Yes,No,65,80,95,0%
Dhaka,Adabor(Mohammadpur),1207,Yes,No,65,80,95,0%
Dhaka,Darussalam (Technical-Kallayanpur),1216,Yes,No,65,80,95,0%
Dhaka,Gabtoli (Dhaka),1216,Yes,No,65,80,95,0%
Dhaka,Pallabi(Mirpur-12),1216,Yes,No,65,80,95,0%
Dhaka,Lalmatia(Dhaka),1207,Yes,No,65,80,95,0%
Dhaka,Mirpur DOHS(Mirpur-12),1216,Yes,No,65,80,95,0%
Dhaka,Kochukhet(Mirpur 14),1206,Yes,No,65,80,95,0%
Dhaka,Gudaraghat (Badda Link Road),1212,Yes,No,65,80,95,0%
Dhaka,Agargaon(Dhaka),1216,Yes,No,65,80,95,0%
Dhaka,Monipur(60-feet),1216,Yes,No,65,80,95,0%
Dhaka,Sher-e-Bangla Agricultural University,1205,Yes,No,65,80,95,0%
Dhaka,Ibrahimpur(Mirpur 14),1206,Yes,No,65,80,95,0%
Dhaka,Kakoli(Banani),1212,Yes,No,65,80,95,0%
Dhaka,Balughat Bazar Road(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,North Kafrul(Mirpur),1206,Yes,No,65,80,95,0%
Dhaka,Vashantek(Mirpur),1206,Yes,No,65,80,95,0%
Dhaka,Manikdi(Vasantek-Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Matikata(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Bangladesh Army Headquerters(Dhaka Cantonment),1212,Yes,No,65,80,95,0%
Dhaka,Rupnagar Residential(Mirpur 7),1216,Yes,No,65,80,95,0%
Dhaka,Duaripara-Pallabi(Mirpur 12),1216,Yes,No,65,80,95,0%
Dhaka,Dhaka Dental College(Mirpur 14),1216,Yes,No,65,80,95,0%
Dhaka,Bagbari (Dhaka),1216,Yes,No,65,80,95,0%
Dhaka,Mazar Road (Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Shagufta(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Bawnia Bazar(Uttara),1230,Yes,No,65,80,95,0%
Dhaka,Baigertek-ECB(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Madina nagar(Mirpur 11),1216,Yes,No,65,80,95,0%
Dhaka,Chuti Ghor Road (Nikunjo-Khilkhet),1229,Yes,No,65,80,95,0%
Dhaka,Mastertek-Manikdi(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Balughat(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Barontek-Balughat(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Golartek(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Uttar Para (Khilkhet),1229,Yes,No,65,80,95,0%
